species,,latitude,longitude
Brown Treecreeper,,-36.70019,143.25089
Brown Treecreeper,,-36.83644,143.28963
Brown Treecreeper,,-36.68764,143.24716
Brown Treecreeper,,-36.95063,143.20883
Brown Treecreeper,,-36.95063,143.20883
Brown Treecreeper,,-36.88554,143.61758
Brown Treecreeper,,-36.70696,143.22646
Brown Treecreeper,,-36.70231,143.23416
Brown Treecreeper,,-36.89035,145.00651
Brown Treecreeper,,-36.60138,143.32738
Brown Treecreeper,,-36.74475,144.82437
Brown Treecreeper,,-36.84221,143.7798
Brown Treecreeper,,-36.9629,143.54162
Brown Treecreeper,,-36.82277,143.80152
Brown Treecreeper,,-36.68532,143.22695
Brown Treecreeper,,-36.68532,143.22695
Brown Treecreeper,,-36.72756,144.82037
Brown Treecreeper,,-36.74858,144.83658
Brown Treecreeper,,-36.82412,143.78251
Brown Treecreeper,,-36.93002,143.68421
Brown Treecreeper,,-36.9526,144.6635
Brown Treecreeper,,-36.9526,144.6635
Brown Treecreeper,,-36.9526,144.6635
Brown Treecreeper,,-36.59936,143.33849
Brown Treecreeper,,-36.79708,143.32096
Brown Treecreeper,,-36.86948,143.6103
Brown Treecreeper,,-36.86948,143.6103
Brown Treecreeper,,-36.68532,143.22695
Brown Treecreeper,,-36.68165,143.2302
Brown Treecreeper,,-36.68165,143.2302
Brown Treecreeper,,-36.72756,144.82037
Brown Treecreeper,,-36.73745,144.81897
Brown Treecreeper,,-36.73833,144.81783
Brown Treecreeper,,-36.7097,143.2243
Brown Treecreeper,,-36.68532,143.22695
Brown Treecreeper,,-36.68532,143.22695
Brown Treecreeper,,-36.68532,143.22695
Brown Treecreeper,,-36.584,143.34027
Brown Treecreeper,,-36.98368,143.12665
Brown Treecreeper,,-36.98368,143.12665
Brown Treecreeper,,-36.67325,143.24563
Brown Treecreeper,,-36.72756,144.82037
Brown Treecreeper,,-36.74189,144.81549
Brown Treecreeper,,-36.70696,143.22646
Brown Treecreeper,,-36.99019,143.8099
Brown Treecreeper,,-35.92109,143.78264
Brown Treecreeper,,-36.59787,147.00964
Brown Treecreeper,,-35.26076,141.1778
Brown Treecreeper,,-36.17002,146.64376
Brown Treecreeper,,-37.30014,143.06897
Brown Treecreeper,,-34.66655,142.48949
Brown Treecreeper,,-36.01449,144.4075
Brown Treecreeper,,-35.86294,144.31944
Brown Treecreeper,,-36.78177,147.05225
Brown Treecreeper,,-36.01227,146.25719
Brown Treecreeper,,-35.21514,142.11821
Brown Treecreeper,,-34.71622,141.6648
Brown Treecreeper,,-36.69765,142.63296
Brown Treecreeper,,-36.91008,142.65432
Brown Treecreeper,,-34.32524,142.29214
Brown Treecreeper,,-35.46748,143.46282
Brown Treecreeper,,-36.41269,146.02475
Brown Treecreeper,,-35.80759,144.34343
Brown Treecreeper,,-37.01631,142.38235
Brown Treecreeper,,-36.99768,146.26907
Brown Treecreeper,,-36.60293,144.61932
Brown Treecreeper,,-36.20004,146.15865
Brown Treecreeper,,-34.71319,142.35602
Brown Treecreeper,,-35.16182,142.03074
Brown Treecreeper,,-37.14043,144.26037
Brown Treecreeper,,-37.14043,144.26037
Brown Treecreeper,,-36.98176,143.74669
Brown Treecreeper,,-36.13481,146.62948
Brown Treecreeper,,-36.72405,141.17216
Brown Treecreeper,,-36.59615,142.67218
Brown Treecreeper,,-36.26213,143.05126
Brown Treecreeper,,-35.43147,141.91189
Brown Treecreeper,,-36.90085,146.0848
Brown Treecreeper,,-37.78157,144.56838
Brown Treecreeper,,-36.90011,143.95694
Brown Treecreeper,,-36.47551,143.69745
Brown Treecreeper,,-36.41498,141.65221
Brown Treecreeper,,-36.60293,144.61932
Brown Treecreeper,,-37.94795,144.42635
Brown Treecreeper,,-37.01631,142.38235
Brown Treecreeper,,-36.6796,144.09444
Brown Treecreeper,,-37.18821,143.96702
Brown Treecreeper,,-36.59615,142.67218
Brown Treecreeper,,-36.68186,141.91971
Brown Treecreeper,,-36.58402,144.66572
Brown Treecreeper,,-36.36814,146.37198
Brown Treecreeper,,-36.36814,146.37198
Brown Treecreeper,,-36.33095,146.1851
Brown Treecreeper,,-36.4309,146.16844
Brown Treecreeper,,-36.5069,144.33981
Brown Treecreeper,,-35.76237,144.29628
Brown Treecreeper,,-35.73693,144.2474
Brown Treecreeper,,-35.80406,144.34687
Brown Treecreeper,,-36.07678,146.19439
Brown Treecreeper,,-35.83928,145.0575
Brown Treecreeper,,-36.05509,146.18684
Brown Treecreeper,,-36.14884,146.18476
Brown Treecreeper,,-35.83928,145.0575
Brown Treecreeper,,-35.78714,144.35628
Brown Treecreeper,,-35.78714,144.35628
Brown Treecreeper,,-35.83928,145.0575
Brown Treecreeper,,-36.69738,144.35452
Brown Treecreeper,,-36.11285,142.7452
Brown Treecreeper,,-37.06469,142.55194
Brown Treecreeper,,-36.36433,146.33523
Brown Treecreeper,,-36.74162,144.80094
Southern Brown Tree Frog,,-38.21924,146.31071
Southern Brown Tree Frog,,-38.40412,143.87756
Southern Brown Tree Frog,,-38.33731,142.24576
Agile Antechinus,,-37.28662,144.11748
Southern Brown Tree Frog,,-38.3464,147.17695
Brown Treecreeper,,-36.15829,146.64159
Agile Antechinus,,-37.20091,142.31923
Brown Treecreeper,,-36.81392,144.0862
Southern Brown Tree Frog,,-38.33535,146.9533
Brown Treecreeper,,-34.76601,142.67258
Brown Treecreeper,,-34.42643,141.50852
White-browed Treecreeper,,-34.53924,141.61473
Brown Treecreeper,,-34.53924,141.61473
Brown Treecreeper,,-36.84771,142.98022
Southern Brown Tree Frog,,-38.61164,146.53012
Brown Treecreeper,,-36.80824,144.51612
Brown Treecreeper,,-36.80824,144.51612
Southern Brown Tree Frog,,-37.3911,144.26708
Agile Antechinus,,-37.44999,147.76159
Agile Antechinus,,-37.44999,147.76159
Brown Treecreeper,,-37.08346,143.69072
Agile Antechinus,,-38.15452,141.50084
Agile Antechinus,,-38.15038,141.51011
Agile Antechinus,,-37.90959,141.47522
Agile Antechinus,,-38.00089,141.55797
Agile Antechinus,,-38.0315,141.6148
Agile Antechinus,,-38.19747,141.72438
Southern Brown Tree Frog,,-38.16013,145.59261
Southern Brown Tree Frog,,-38.17141,145.58872
Southern Brown Tree Frog,,-37.89482,142.79868
Agile Antechinus,,-38.20047,141.40716
Agile Antechinus,,-37.95021,145.41201
Southern Brown Tree Frog,,-37.9473,141.42285
Southern Brown Tree Frog,,-37.79018,141.19026
Brown Treecreeper,,-37.09242,141.78498
Brown Treecreeper,,-37.09242,141.78498
Southern Brown Tree Frog,,-37.70597,145.14535
Southern Brown Tree Frog,,-37.49932,142.04625
Brown Treecreeper,,-36.3805,146.0872
Southern Brown Tree Frog,,-37.95943,145.71882
Southern Brown Tree Frog,,-37.95943,145.71882
Southern Brown Tree Frog,,-37.95943,145.71882
Southern Brown Tree Frog,,-37.93713,145.74665
Southern Brown Tree Frog,,-38.01742,145.82088
Southern Brown Tree Frog,,-37.95755,145.73878
Southern Brown Tree Frog,,-37.81942,145.27252
Southern Brown Tree Frog,,-37.81942,145.27252
Southern Brown Tree Frog,,-38.25387,146.61243
Brown Treecreeper,,-36.04376,146.38182
Brown Treecreeper,,-36.04376,146.38182
Brown Treecreeper,,-37.07174,144.30735
Brown Treecreeper,,-37.07174,144.30735
Brown Treecreeper,,-36.13533,146.55885
Agile Antechinus,,-36.90544,148.08829
Southern Brown Tree Frog,,-37.39164,144.27101
Southern Brown Tree Frog,,-38.01791,145.23444
Brown Treecreeper,,-36.31853,143.54287
Brown Treecreeper,,-36.3805,146.0872
Brown Treecreeper,,-36.3805,146.0872
Agile Antechinus,,-37.28378,144.09334
Agile Antechinus,,-37.28378,144.09334
Agile Antechinus,,-37.28378,144.09334
Agile Antechinus,,-37.46015,146.12493
Agile Antechinus,,-37.55435,146.12349
Agile Antechinus,,-37.69499,148.7609
Agile Antechinus,,-37.75594,148.75939
Agile Antechinus,,-38.4955,143.7026
Brown Treecreeper,,-36.4717,142.0869
Agile Antechinus,,-37.8575,145.857
Agile Antechinus,,-37.2657,144.0714
Agile Antechinus,,-37.2657,144.0714
Agile Antechinus,,-37.2657,144.0714
Agile Antechinus,,-37.304,144.1127
Agile Antechinus,,-37.304,144.1127
Agile Antechinus,,-37.304,144.1127
Agile Antechinus,,-37.304,144.1127
Southern Brown Tree Frog,,-37.6589,148.80316
Southern Brown Tree Frog,,-37.6589,148.80316
Brown Treecreeper,,-36.2358,146.9842
Brown Treecreeper,,-36.3722,145.6582
Brown Treecreeper,,-36.3447,145.7451
Brown Treecreeper,,-36.226,145.79744
Agile Antechinus,,-38.2514,147.20454
White-browed Treecreeper,,-37.90047,145.59856
Agile Antechinus,,-37.2737,148.08281
Agile Antechinus,,-37.7355,148.03075
Brown Treecreeper,,-36.5084,145.31095
Southern Brown Tree Frog,,-38.1574,145.16918
Brown Treecreeper,,-37.116,142.80407
Brown Treecreeper,,-37.1176,142.80525
Agile Antechinus,,-38.0603,146.36638
Southern Brown Tree Frog,,-37.7854,145.02332
Southern Brown Tree Frog,,-38.0924,141.9278
Southern Brown Tree Frog,,-38.0924,141.9278
Southern Brown Tree Frog,,-37.8197,141.4207
